name,peliaikaAlle30min,peliaika31to60min,peliaika1hto2h,peliaikayli2h
"Tiddledy Winks",1,0,0,0
"Soldier King",0,0,0,1
"Dicemaster: Cities of Doom",0,0,1,0
"Xactika",0,1,0,0
"NFL Strategy",0,0,0,1
"Berlin '85: The Enemy at the Gates",0,0,0,1
"Monster Derby",0,0,1,0
"Star Wars:  Escape From Death Star Game",1,0,0,0
"Armada",0,0,0,1
"7th Fleet",0,0,1,0
"Outburst!",0,1,0,0
"Scene It? Movie",1,0,0,0
"Personal Preference",0,1,0,0
"The Legend Begins",0,0,0,1
"Don't Break the Ice",1,0,0,0
"Dragon Strike",0,0,1,0
"PAC-MAN Game",1,0,0,0
"Wheel of Fortune",0,1,0,0
"Great War at Sea: 1898, The Spanish American War",1,0,0,0
"Great War at Sea 2: The North & Baltic Seas",0,0,0,1
"Great War at Sea: 1904-1905, The Russo-Japanese War",1,0,0,0
"5th Fleet",0,0,0,1
"3rd Fleet",0,0,0,1
"Clever Endeavor",0,1,0,0
"Clue: 50th Anniversary Edition",0,1,0,0
"Battling Tops",0,1,0,0
"1313 Dead End Drive",1,0,0,0
"Ardennes",0,0,0,1
"Crusader",0,0,0,1
"Sunda to Sahul",0,1,0,0
"1914",0,0,0,1
"Wellington's Victory: Battle of Waterloo Game – June 18th, 1815",0,0,0,1
"Pick Two!",1,0,0,0
"Warzone (second edition)",0,0,0,1
"Blood Berets",0,1,0,0
"Cityscape",1,0,0,0
"Jutland",0,0,1,0
"Warmaster",0,0,1,0
"Apples to Apples Kids",1,0,0,0
"Pro Golf",0,1,0,0
"Snit Smashing",1,0,0,0
"Hands Up",1,0,0,0
"Don't Spill the Beans",1,0,0,0
"The Struggle of Nations",0,0,0,1
"Monopoly: Star Wars Episode 1",0,0,1,0
"Empire of the Rising Sun",0,0,0,1
"Panzer Armee Afrika",0,0,0,1
"IDF (Israeli Defense Force)",0,0,1,0
"Flashpoint: Golan",0,0,0,1
"Candy Land",1,0,0,0
"The Worst-Case Scenario Survival Game",1,0,0,0
"Caesar in Alexandria",0,0,0,1
"Sjoelen",1,0,0,0
"Carrom",0,1,0,0
"Rush Hour",0,1,0,0
"Electronic Mall Madness",0,1,0,0
"Charades",1,0,0,0
"Afrikan tähti",0,1,0,0
"Malarky",0,1,0,0
"Fighting Sail: Sea Combat in the Age of Canvas and Shot 1775-1815",0,0,0,1
"Dorada",1,0,0,0
"King's Court",1,0,0,0
"War Without Mercy",0,0,0,1
"Drakborgen Legenden",0,0,1,0
"Marrakesh",1,0,0,0
"Austerlitz",0,0,0,1
"King Arthur and the Knights of the Round Table",0,0,0,1
"The Farming Game",0,0,1,0
"Old Town",0,1,0,0
"Glory",0,0,0,1
"Gnip Gnop",1,0,0,0
"The Great Battles of Alexander",0,0,0,1
"Samurai Blades",0,0,0,1
"Omaha Beachhead",0,0,0,1
"Sinai",0,0,1,0
"Montage",0,1,0,0
"Camelot",1,0,0,0
"Jack Straws",1,0,0,0
"Gorkamorka",0,0,1,0
"Star Trek: The Next Generation – Interactive VCR Board Game – A Klingon Challenge",0,1,0,0
"Booby-Trap",1,0,0,0
"Star Wars: Jedi Knights CCG",1,0,0,0
"Stack",0,1,0,0
"Hilarium",0,1,0,0
"Bloody Kasserine",0,0,1,0
"Octiles",0,1,0,0
"Fury in the West",0,0,0,1
"Waterloo",0,0,1,0
"World War I",0,0,0,1
"Curses!",1,0,0,0
"Basketball Strategy",1,0,0,0
"Harry's Grand Slam Baseball Game",1,0,0,0
"Family Feud",1,0,0,0
"Hangman",1,0,0,0
"Warhammer Epic 40,000",0,0,0,1
"Split (Revised Edition)",0,1,0,0
"Talisman (third edition)",0,0,1,0
"Monopoly Junior",0,1,0,0
"Lost Victory: Manstein At Kharkov, Winter 1943",0,0,0,1
"Von Manstein's Backhand Blow",0,0,1,0
"Chomp!",1,0,0,0
"Hordes of the Things",0,1,0,0
"Oil War",0,0,1,0
"MechWar '77",0,0,0,1
"Wheedle",1,0,0,0
"Amun-Re",0,0,1,0
"New England",0,0,1,0
"Magna Grecia",0,0,1,0
"MindTrap II",0,1,0,0
"Best of TriBond",0,1,0,0
"Rod Hockey",1,0,0,0
"Wealth of Nations",0,0,1,0
"Hanafuda",0,1,0,0
"DAK",0,0,0,1
"Tobruk:  Tank Battles in North Africa 1942",0,0,1,0
"Dread Pirate",0,1,0,0
"Space Fleet",0,1,0,0
"Clue: The Haunted Mansion",0,1,0,0
"Snap: The Interlocking Dragon-Making Game",1,0,0,0
"Monopoly: Millennium",0,0,1,0
"After the Holocaust",0,0,0,1
"A Gleam of Bayonets: The Battle of Antietam",0,0,0,1
"Crazy Circus",1,0,0,0
"Drive on Stalingrad (first edition)",0,0,0,1
"Devil's Den",0,0,0,1
"Atlantic Wall",0,0,0,1
"Time is Money",1,0,0,0
"Time Tripper",0,1,0,0
"Napoleon's Battles",0,0,0,1
"Southern Front",0,0,0,1
"Light Speed",1,0,0,0
"Marbles",1,0,0,0
"Vampire",1,0,0,0
"Sky Galleons of Mars",0,0,1,0
"PeaceBowl",0,1,0,0
"Dungeoneer: Tomb of the Lich Lord",0,1,0,0
"UNO: Harry Potter",1,0,0,0
"Perfection",1,0,0,0
"Full House",0,1,0,0
"Clue Jr.: The Case of the Hidden Toys",1,0,0,0
"Battle of the Bulge",0,0,1,0
"Achtung: Spitfire!",0,0,0,1
"Vietnam 1965-1975",0,0,0,1
"Pacific War",0,0,0,1
"Second World War at Sea: Bomb Alley",0,0,0,1
"APBA Pro Football",0,0,1,0
"Nightmare",0,1,0,0
"Stap op",1,0,0,0
"Pass-out",0,0,0,1
"The Longest Day",0,0,0,1
"France 1944: The Allied Crusade in Europe",0,0,0,1
"Mini Mastermind",1,0,0,0
"Lee vs. Grant",0,0,1,0
"18EU",0,0,0,1
"Stargrunt II",0,0,1,0
"Dirtside II",0,0,1,0
"Highly Suspect",1,0,0,0
"Reiner Knizia's Amazing Flea Circus",1,0,0,0
"The Emperor Returns",0,0,0,1
"Afrika: The Northern African Campaign, 1940-1942 (1st edition)",0,0,0,1
"Air Bridge to Victory",0,0,0,1
"Capt'n Clever",1,0,0,0
"Cuckoo Zoo",1,0,0,0
"Touché",1,0,0,0
"Squad Seven",1,0,0,0
"Petropolis",0,0,1,0
"Balloon Cup",1,0,0,0
"Cranium Cariboo",1,0,0,0
"The Great Patriotic War",0,0,0,1
"The Journeys of Paul",0,0,1,0
"Ace of Aces: Balloon Buster",1,0,0,0
"Domaine",0,1,0,0
"Strat-O-Matic Pro Football",0,0,1,0
"Simon",1,0,0,0
"Harry Potter and the Sorcerer's Stone Trivia Game",0,1,0,0
"Guadalcanal",0,0,0,1
"Bakerstreet",1,0,0,0
"Monopoly: Pokémon",0,0,1,0
"Mammoth Hunters",0,0,1,0
"Orchard",1,0,0,0
"Oh, Really!",1,0,0,0
"D-Day",0,1,0,0
"Edel, Stein & Reich",0,1,0,0
"Coloretto",1,0,0,0
"Polterdice",0,1,0,0
"Maelstrom",0,1,0,0
"Richelieu",0,1,0,0
"The Kids of Catan",1,0,0,0
"Paris Paris",0,1,0,0
"Victory in the West",0,0,0,1
"Balkan Front",0,0,1,0
"Britain Stands Alone",0,0,0,1
"The Great Battles of Julius Caesar: The Civil Wars 48-45 B.C.",0,0,0,1
"Steam Tunnel",1,0,0,0
"Trivial Pursuit: Walt Disney Family Edition Card Set",0,0,1,0
"The Wonderful World of Disney Trivia Game",0,1,0,0
"10 Days in Europe",1,0,0,0
"Mordred",0,1,0,0
"Twister",1,0,0,0
"Hungry Hungry Hippos",1,0,0,0
"Aliens vs. Predator",0,1,0,0
"Harpoon (1st & 3rd edition)",0,0,0,1
"Stonewall: The Battle of Kernstown, March 23, 1862",0,0,1,0
"Mermaid Rain",0,1,0,0
"Mystery Rummy: Al Capone and the Chicago Underworld",0,1,0,0
"Karambolage",1,0,0,0
"South Africa",0,0,1,0
"Tito",0,0,1,0
"Strike Force One",1,0,0,0
"October War",0,0,1,0
"Sequence Dice",1,0,0,0
"Miscellaneous Game Accessory",1,0,0,0
"Lion of Ethiopia",0,0,1,0
"Operation Grenade",0,0,0,1
"The Battle for Cassino: Assaulting the Gustav Line, 1944",0,0,0,1
"Cortes: Conquest of the Aztec Empire",0,0,0,1
"I Am Spartacus!",0,0,0,1
"Gettysburg: Lee's Greatest Gamble",0,0,0,1
"Duel of Ages Set 1: Worldspanner",0,0,1,0
"Queen's Necklace",0,1,0,0
"Pack of Flies",1,0,0,0
"Nobody but Us Chickens",1,0,0,0
"Discovery",0,0,1,0
"Drive",1,0,0,0
"Avalon",0,1,0,0
"Xe Queo!",1,0,0,0
"Dante's Inferno",0,0,1,0
"The Rise of the Roman Republic",0,0,0,1
"Enemy at the Gates",0,0,0,1
"Europe Engulfed",0,0,0,1
"Mag·Blast (Second Edition)",1,0,0,0
"Eastern Front Tank Leader",0,0,1,0
"The Perilous Parlor Game",1,0,0,0
"The Crusades",0,0,0,1
"Chez Grunt",0,1,0,0
"Wacht am Rhein",0,0,0,1
"King's Breakfast",1,0,0,0
"Eketorp",0,1,0,0
"The Ungame",0,1,0,0
"Shark Attack!",1,0,0,0
"Gulo Gulo",1,0,0,0
"Lord of the Rings",1,0,0,0
"Monty's Gamble: Market Garden",0,0,0,1
"Dungeons & Dragons: The Fantasy Adventure Board Game",0,1,0,0
"King Arthur",0,0,1,0
"WarCry",1,0,0,0
"Sequence for Kids",1,0,0,0
"Life Style",0,1,0,0
"Mr. Mouth",1,0,0,0
"Star Wars: Return of the Jedi – Battle at Sarlacc's Pit",1,0,0,0
"Ancients I",0,0,1,0
"Four Battles of the Ancient World",0,1,0,0
"Blokus 3D",1,0,0,0
"Cranium Cadoo",0,1,0,0
"Pick Up Sticks",1,0,0,0
"Air & Armor",0,0,1,0
"The Testimony of Jacob Hollow",0,1,0,0
"A Game of Thrones (first edition)",0,0,0,1
"Phoenix",1,0,0,0
"Iron Tide: Panzers in the Ardennes",0,0,0,1
"Harpoon: Captain's Edition",0,0,1,0
"Tom Tube",1,0,0,0
"Titan Legions",0,0,0,1
"Magdar",1,0,0,0
"Dwarven Dig!",0,1,0,0
"Don't Wake Daddy",1,0,0,0
"Formula Dé Mini",0,1,0,0
"Articulate!",0,1,0,0
"Battle for Moscow (first edition)",0,0,1,0
"Labyrinth",1,0,0,0
"Pretty Pretty Princess",1,0,0,0
"Crimson Skies",1,0,0,0
"Cashflow 101",0,0,0,1
"Lawless",0,1,0,0
"Diceland: Space",1,0,0,0
"The Secret Door",1,0,0,0
"Glory II: Across the Rappahannock",0,0,0,1
"VisualEyes",1,0,0,0
"Cronberg",1,0,0,0
"Korea: The Forgotten War",0,0,0,1
"Kung Fu Samurai on Giant Robot Island",1,0,0,0
"Grave Robbers II: Skippy's Revenge",1,0,0,0
"Lord of the Rings Trivia Game",0,0,1,0
"Downtown: Air War Over Hanoi, 1965-1972",0,0,0,1
"Finans",0,1,0,0
"Rapidough",1,0,0,0
"Scream Machine",0,1,0,0
"Western Front Tank Leader",0,0,0,1
"Excalibur",0,0,1,0
"Strange Synergy",0,1,0,0
"Such a Thing?",1,0,0,0
"Lunar Rails",0,0,0,1
"Shadowrun Duels",1,0,0,0
"Age of Mythology: The Boardgame",0,0,0,1
"Hit the Deck",1,0,0,0
"Go Away Monster!",1,0,0,0
"Anathema",1,0,0,0
"Liberty: The American Revolution 1775-83",0,0,0,1
"Aces High",1,0,0,0
"Quicksand",1,0,0,0
"Dungeons & Dragons Chainmail",0,1,0,0
"Scum: The Food Chain Game",0,1,0,0
"Busen Memo",1,0,0,0
"Attack!",0,0,0,1
"Attack Vector: Tactical",0,0,0,1
"The Settlers of Zarahemla",0,0,1,0
"The Ark of the Covenant",1,0,0,0
"Deutschlandreise",0,1,0,0
"Battleball",0,1,0,0
"Concentration",1,0,0,0
"Win, Lose or Draw",0,1,0,0
"Star Wars: The Interactive Video Board Game",0,1,0,0
"Schafkopf",1,0,0,0
"Gold und Rum",0,1,0,0
"Electronic Battleship Advanced Mission",1,0,0,0
"Transformers Armada:  Battle for Cybertron",1,0,0,0
"Red Badge of Courage",0,0,0,1
"Mus",1,0,0,0
"Toss Across",1,0,0,0
"Euchre",0,1,0,0
"1941",0,0,1,0
"1940",0,0,1,0
"BattleTech: CityTech",0,0,1,0
"Viking Raiders",0,0,0,1
"Hornet Leader",1,0,0,0
"Ranger",0,1,0,0
"Sweden Fights On",0,0,0,1
"Katamino",1,0,0,0
"Hi Ho! Cherry-O",1,0,0,0
"Wolfpack",0,0,1,0
"Lara Croft: Tomb Raider – The Angel of Darkness",0,1,0,0
"Reiner Knizia's Decathlon",0,1,0,0
"Mission Command Land",0,1,0,0
"Match of the Penguins",1,0,0,0
"Mission Command Sea",1,0,0,0
"Mission Command Air",0,1,0,0
"Scrabble Card Game",1,0,0,0
"Smarty Party!",0,1,0,0
"Senjutsu: Dynamic Samurai Combat",1,0,0,0
"Schloss Schlotterstein",1,0,0,0
"Guilford",0,0,0,1
"Panzer Grenadier: Afrika Korps",0,1,0,0
"Battles for the Ardennes",0,0,1,0
"Go: The International Travel Game",0,1,0,0
"Monopoly: Deluxe Edition",0,0,0,1
"Ace of Aces: Flying Machines",1,0,0,0
"Ace of Aces: Powerhouse Series",1,0,0,0
"Fifth Corps",0,0,1,0
"Second World War at Sea: SOPAC",0,0,0,1
"Ace of Aces: Handy Rotary Deluxe Edition",1,0,0,0
"The Killing Ground",0,0,0,1
"Warhammer 40,000 Collectible Card Game",0,1,0,0
"Panzer Grenadier: Battle of the Bulge",0,0,0,1
"Panzer Grenadier: Semper Fi! Guadalcanal",0,0,0,1
"Monopoly: Nostalgia Wooden Box",0,0,0,1
"TimeLine",1,0,0,0
"To the Green Fields Beyond",0,0,0,1
"18VA",0,0,0,1
"Medieval",0,0,1,0
"Vanished Planet",0,1,0,0
"The Speed of Heat",0,0,0,1
"Digit",1,0,0,0
"Management Material: Information Technology Edition",1,0,0,0
"Top Trumps",1,0,0,0
"Nertz",0,1,0,0
"GOLO",1,0,0,0
"Dynasty League Baseball",0,1,0,0
"Cranium Hullabaloo",1,0,0,0
"Rock 'Em Sock 'Em Robots",1,0,0,0
"One False Step for Mankind",0,0,0,1
"Bingo",0,1,0,0
"Elefun",1,0,0,0
"Trivial Pursuit: The Lord of the Rings Movie Trilogy Collector's Edition",0,0,1,0
"Epaminondas",0,1,0,0
"The Korean War",0,0,0,1
"Wilson's Creek: The West's First Fight, August 10, 1861",0,0,0,1
"LEGO Creator",1,0,0,0
"Star Wars Miniatures Battles",0,0,1,0
"Jarnac",0,1,0,0
"Hube's Pocket",0,0,0,1
"Jumpin' Monkeys",1,0,0,0
"Battleship Card Game",1,0,0,0
"The Lord of the Rings: The Two Towers Board Game",0,1,0,0
"Hand and Foot",0,0,1,0
"WarCraft: The Board Game",0,0,1,0
"Sword of Rome",0,0,0,1
"Schatz der Drachen",1,0,0,0
"Leros",0,0,0,1
"Zombie Plague",0,1,0,0
"Subulata",1,0,0,0
"Fish Eat Fish",1,0,0,0
"Babylon",1,0,0,0
"Winds Of Plunder",0,0,1,0
"Thingamajig",1,0,0,0
"Electric Football",0,0,1,0
"Urban Myth",0,1,0,0
"A World at War",0,0,0,1
"Western Desert",0,0,0,1
"Three of a Crime",1,0,0,0
"Bar-Lev: The Yom-Kippur War of 1973",0,0,0,1
"Hisss",1,0,0,0
"Hands Down",1,0,0,0
"Carcassonne: The Castle",1,0,0,0
"The Penguin Ultimatum",0,1,0,0
"Arena Maximus",0,1,0,0
"The Prince: The Struggle of House Borgia",0,0,1,0
"Confrontation",0,0,1,0
"When Eagles Fight",0,0,0,1
"Victory in Normandy",0,0,0,1
"En Garde!",0,0,1,0
"O'NO 99",1,0,0,0
"Dracula",1,0,0,0
"Fearsome Floors",0,1,0,0
"King Me!",1,0,0,0
"Creepy Freaks",1,0,0,0
"Buffy the Vampire Slayer: The Board Game",0,1,0,0
"Break the Safe",1,0,0,0
"Secrets of the Tombs",1,0,0,0
"Eagles Of The Empire: Preussisch-Eylau",0,0,0,1
"Caesar: Conquest of Gaul",0,0,0,1
"Operation Typhoon",0,0,0,1
"YINSH",0,1,0,0
"Ardennes '44",0,0,0,1
"Soldier Emperor",0,0,0,1
"10 Days in Africa",1,0,0,0
"10 Days in the USA",1,0,0,0
"The 6 Days of Glory",0,0,0,1
"Trivial Pursuit: Junior",0,1,0,0
"Dungeons & Dragons Miniatures",0,1,0,0
"NATO: Operational Combat in Europe in the 1970's",0,0,0,1
"Seelöwe",0,0,0,1
"Mutiny!",0,1,0,0
"Arctic Storm: The Russo-Finnish Winter War 1939-40",0,0,0,1
"Crocodile Pool Party",1,0,0,0
"Triumph & Glory: Battles of the Napoleonic Wars 1796-1809",0,0,0,1
"Fantasy Pub",0,1,0,0
"Spooks",1,0,0,0
"Silver Bayonet: The First Team in Vietnam, 1965",0,0,0,1
"Feurio!",1,0,0,0
"Citadel Combat Cards",1,0,0,0
"Trivial Pursuit: DVD Pop Culture Game",0,1,0,0
"Monopoly: The Lord of the Rings Trilogy Edition",0,1,0,0
"Princes of the Renaissance",0,0,0,1
"Attika",0,1,0,0
"Ideology: The War of Ideas",0,0,1,0
"CrossFire: Rules & Organizations for Company Level WW2 Gaming",0,0,1,0
"Clue FX",1,0,0,0
"Tannenberg",0,0,0,1
"MLB SportsClix",1,0,0,0
"Prophecy",0,0,0,1
"Logistico",0,1,0,0
"Team Yankee",0,0,0,1
"Monopoly: European Edition",0,0,1,0
"Risk: The Lord of the Rings Trilogy Edition",0,0,0,1
"Industria",0,1,0,0
"Santiago",0,0,1,0
"Maya",0,0,1,0
"Lucky Loop",0,1,0,0
"Atta Ants",1,0,0,0
"Sluff Off!",1,0,0,0
"Die Fugger",0,1,0,0
"Kogge",0,0,1,0
"The Lord of the Rings: Combat Hex Tradeable Miniatures Game",0,1,0,0
"Maka Bana",0,1,0,0
"Illuminati: Crime Lords",0,1,0,0
"Anno 1503",0,0,1,0
"Return of the Heroes",0,0,1,0
"Coyote",1,0,0,0
"Battleship (first edition)",0,0,1,0
"Yellowstone Park",0,1,0,0
"The Bridges of Shangri-La",0,1,0,0
"Railroad Dice",0,0,1,0
"Viva Topo!",1,0,0,0
"BattleTech: AeroTech",0,0,1,0
"Hey, That's My Fish!",1,0,0,0
"Dungeoneer: Vault of the Fiends",1,0,0,0
"San Juan",0,1,0,0
"Spank the Monkey",1,0,0,0
"Armadöra",1,0,0,0
"Zauberschwert & Drachenei",0,1,0,0
"Rolit",1,0,0,0
"Patton's 3rd Army: The Lorraine Campaign",0,0,1,0
"Alexandros",0,1,0,0
"Assault - Tactical Combat in Europe: 1985",0,0,0,1
"Boots & Saddles, An Assault Series Module",0,0,0,1
"Killer",0,0,0,1
"3D Labyrinth",1,0,0,0
"Over the Reich",0,0,1,0
"Sixth Fleet",0,0,1,0
"Sicily: The Race for Messina",0,0,0,1
"The China War",0,0,1,0
"The Desert Fox",0,0,1,0
"The Fall of Rome",0,0,1,0
"Paratroop",0,0,1,0
"Pegasus Bridge: The Beginning of D-Day – June 6, 1944",0,0,1,0
"Revolt in the East",0,0,1,0
"Napoleon at Eylau",0,0,1,0
"Monopoly: Deluxe Anniversary Edition",0,0,1,0
"Buckaroo!",1,0,0,0
"Sorry! The Disney Edition",1,0,0,0
"Hector and Achilles",1,0,0,0
"Crusader Rex",0,0,0,1
"Bed Bugs",1,0,0,0
"Ants in the Pants",1,0,0,0
"Age of Napoleon",0,0,0,1
"De Bellis Multitudinis",0,0,0,1
"Torches & Pitchforks",1,0,0,0
"Dork Tower",0,1,0,0
"Hybrid",0,0,1,0
"Whistling Death",0,0,0,1
"Ninja Burger",0,1,0,0
"I Go!",1,0,0,0
"Cannon",1,0,0,0
"Cargo",0,1,0,0
"The Haunting House",0,1,0,0
"Wreckage",0,1,0,0
"Advanced Space Crusade",0,1,0,0
"Monopoly: Disney",0,0,1,0
"The Grape Escape",1,0,0,0
"Days of Decision",0,0,0,1
"Igloo Pop",1,0,0,0
"Terra",1,0,0,0
"Bunco",0,1,0,0
"Buzzword",0,1,0,0
"Jacob Marley, Esq.",0,0,1,0
"Landships! Tactical Weapons Innovations 1914-1918",0,0,1,0
"The Next War",0,0,0,1
"BAOR",0,0,1,0
"Flying Colors",0,0,0,1
"Destruction of Army Group Center",0,0,1,0
"Narvik",0,0,0,1
"Po-Ke-No",1,0,0,0
"Activity",0,1,0,0
"Winter War",0,0,1,0
"Stoner Fluxx",1,0,0,0
"No Better Place to Die",0,0,0,1
"Shocking Roulette",1,0,0,0
"Frenzy",1,0,0,0
"Call of Cthulhu: Collectible Card Game",1,0,0,0
"Gopher It!",1,0,0,0
"Nobody is Perfect",0,1,0,0
"Firefight",0,0,1,0
"Cranium Conga",1,0,0,0
"Battle for Stalingrad",0,0,0,1
"IGOR: The Mad Scientist's Lament",0,1,0,0
"Jenga Xtreme",1,0,0,0
"Jenga Truth-or-Dare",1,0,0,0
"BuyWord",0,1,0,0
"Dancing Eggs",1,0,0,0
"Buffy the Vampire Slayer CCG",1,0,0,0
"Shazamm!",1,0,0,0
"Der wahre Walter",0,1,0,0
"Triple Yahtzee",0,1,0,0
"Stadium Checkers",1,0,0,0
"Coda",1,0,0,0
"The Battles of Waterloo",0,0,0,1
"Renegade Legion: Centurion – Blood & Steel",0,1,0,0
"kuuduk",1,0,0,0
"Funny Bunny",1,0,0,0
"World War II: Pacific Theater of Operations",0,0,0,1
"I.Q. 2000",0,0,1,0
"Junkyard Races",0,0,1,0
"Hansa",0,1,0,0
"Fire in the East",0,0,0,1
"Pictionary Junior",0,1,0,0
"Pop-Up Pirate!",1,0,0,0
"Sunken City",0,1,0,0
"Oasis",0,1,0,0
"Tongiaki: Journey into the Unknown",0,1,0,0
"Cinq-O",1,0,0,0
"Teenage Mutant Ninja Turtles Game",0,1,0,0
"The Newlywed Game",1,0,0,0
"Avalam",1,0,0,0
"Masquerade",0,0,1,0
"Marco Polo Expedition",0,1,0,0
"Zitternix",1,0,0,0
"Highlander: The Card Game",1,0,0,0
"Armchair Cricket",0,1,0,0
"Heroes Incorporated",0,1,0,0
"Spy",1,0,0,0
"Saga",1,0,0,0
"Wings of War: Famous Aces",1,0,0,0
"Screwball Scramble",1,0,0,0
"Manga Manga",1,0,0,0
"Revolution: The Dutch Revolt 1568-1648",0,0,0,1
"Goa",0,0,1,0
"Saint Petersburg",0,1,0,0
"Treasure Falls",1,0,0,0
"Who? What? Where?",1,0,0,0
"Warzone (first edition)",0,0,0,1
"Oh, Pharaoh!",0,1,0,0
"Clay-O-Rama",1,0,0,0
"Lost Valley",0,1,0,0
"Fifth Avenue",0,0,1,0
"Daimyo",0,1,0,0
"Privacy",0,1,0,0
"Doppelkopf",0,0,1,0
"Knock!  Knock!",1,0,0,0
"Uusi Finanssi",0,0,1,0
"Dos Rios",0,0,1,0
"FBI",1,0,0,0
"Maharaja: The Game of Palace Building in India",0,0,1,0
"Ribbit",1,0,0,0
"Teenage Mutant Ninja Turtles: Pizza Power Game",1,0,0,0
"Adam & Eva",1,0,0,0
"L'Armée du Nord",0,0,0,1
"Iglu Iglu",0,1,0,0
"Adverteasing",1,0,0,0
"Snatch",0,1,0,0
"Indus",0,1,0,0
"Across Suez",0,0,1,0
"Cluzzle",0,1,0,0
"Station Master",0,1,0,0
"Horus",0,1,0,0
"Russian Rails",0,0,0,1
"Struggle of Empires",0,0,0,1
"Greed Quest",1,0,0,0
"Ingenious",0,1,0,0
"La Strada",1,0,0,0
"Bounce It-In Game",1,0,0,0
"Duell",1,0,0,0
"Battle of the Bands: Encore Edition",1,0,0,0
"Beer Money",1,0,0,0
"Oriente",1,0,0,0
"Rummoli",0,1,0,0
"Ostrakon",0,1,0,0
"Tuchulcha",1,0,0,0
"Operation Michael",0,0,0,1
"Gettysburg: Badges of Courage",0,0,0,1
"Advanced Squad Leader: Starter Kit #1",0,0,1,0
"Employee of the Month",1,0,0,0
"Early American Chrononauts",0,1,0,0
"Runebound (First Edition)",0,0,1,0
"Clue Jr.: The Case of the Missing Cake",1,0,0,0
"Strat-O-Matic Pro Basketball",0,0,1,0
"Wings of War: Watch Your Back!",1,0,0,0
"Stacrobats",1,0,0,0
"Headache",1,0,0,0
"Chez Goth",0,1,0,0
"Santorini",1,0,0,0
"Axis & Allies: D-Day",0,0,1,0
"Axis & Allies",0,0,0,1
"The Scrambled States of America",1,0,0,0
"The Great War in Europe",0,0,0,1
"The Russian Campaign (fourth edition)",0,0,0,1
"Fliegen klatschen",1,0,0,0
"Bitter Woods (fourth edition)",0,0,0,1
"Napoleon at Leipzig",0,0,0,1
"Farlander",1,0,0,0
"Make 'n' Break",1,0,0,0
"Thunder at the Crossroads (second edition)",0,0,0,1
"Monkey Madness",1,0,0,0
"Lucky Ducks",1,0,0,0
"Saga",0,1,0,0
"Risk: Godstorm",0,0,1,0
"Patience",1,0,0,0
"Epic Armageddon",0,0,1,0
"Duel Masters Trading Card Game",1,0,0,0
"Crocodile Dentist",1,0,0,0
"Renegade Legion: Leviathan",0,0,1,0
"Camelot Legends",0,1,0,0
"Canvas Eagles",0,1,0,0
"Tyrus",1,0,0,0
"Victory & Honor",1,0,0,0
"Gyges",1,0,0,0
"Napoleon's Art of War: Eylau and Dresden",0,0,0,1
"Betrayal at House on the Hill",0,1,0,0
"Big Boggle",1,0,0,0
"Why Did the Chicken...?",0,1,0,0
"Gringo!",0,0,0,1
"Memoir '44",0,1,0,0
"Doom: The Boardgame",0,0,0,1
"Barbarossa: Army Group South, 1941",0,0,0,1
"Barbarossa: Army Group North, 1941",0,0,0,1
"Pirates of the Spanish Main",1,0,0,0
"Hex Hex",1,0,0,0
"Micropul",1,0,0,0
"Victoria Cross",0,0,1,0
"Panzer Grenadier: Desert Rats",0,0,0,1
"Easy Come, Easy Go",1,0,0,0
"Knight Hawks",0,1,0,0
"Apples to Apples Junior",1,0,0,0
"Atlas & Zeus",1,0,0,0
"Hacker: Deluxe Edition",0,1,0,0
"Tjuv och polis",0,0,0,1
"Bondespelet",0,0,1,0
"CSI: Crime Scene Investigation Boardgame",0,0,1,0
"Dancing Dice",1,0,0,0
"Hellenes: Campaigns of the Peloponnesian War",0,0,0,1
"Pitch",1,0,0,0
"Somethin' Fishy",1,0,0,0
"Dawn Under",1,0,0,0
"Blackjack",1,0,0,0
"Navia Dratp",1,0,0,0
"Heart of Africa",0,1,0,0
"Minotaur Lords",1,0,0,0
"Simply Suspects",1,0,0,0
"Tumbling Tower",1,0,0,0
"Things...",0,1,0,0
"Master Thieves",0,1,0,0
"Smugglers of the Galaxy",0,0,1,0
"April's Harvest: The Battle of Shiloh, April 6 & 7, 1862",0,0,0,1
"Borodino: Battle of the Moskova, 1812",0,0,1,0
"ConHex",1,0,0,0
"Boomtown",1,0,0,0
"Word Jam",1,0,0,0
"Abracadabra",1,0,0,0
"Farfalia",0,1,0,0
"Lotto",1,0,0,0
"The Great Battles of Alexander: Deluxe Edition",0,0,0,1
"Familienbande",1,0,0,0
"Jumbo & Co",1,0,0,0
"Tahuantinsuyu",0,0,0,1
"Who's the Ass?",1,0,0,0
"Warhammer 40,000: Rogue Trader",0,0,1,0
"Proud Monster: The Barbarossa Campaign",1,0,0,0
"Ea$y Money",1,0,0,0
"Dungeoneer: Haunted Woods of Malthorin",0,1,0,0
"Dungeoneer: Den of the Wererats",1,0,0,0
"Flames of War: The World War II Miniatures Game",0,0,1,0
"Heroscape Master Set: Rise of the Valkyrie",0,0,1,0
"Super Scrabble",0,1,0,0
"The First World War",0,0,1,0
"Star Wars Miniatures",0,1,0,0
"Snorta!",1,0,0,0
"Wellington",0,0,0,1
"Roads to Leningrad",0,0,0,1
"Devil's Horsemen",0,0,0,1
"Stratego: The Lord of the Rings",1,0,0,0
