name,pelaajia1,pelaajia2,pelaajia3tai4,pelaajiaYli4
"Empire of the Rising Sun",0,1,0,0
"Panzer Armee Afrika",1,1,0,0
"IDF (Israeli Defense Force)",1,1,1,0
"Flashpoint: Golan",1,1,0,0
"Candy Land",0,1,1,0
"The Worst-Case Scenario Survival Game",0,1,1,0
"Caesar in Alexandria",0,0,0,0
"Sjoelen",1,1,1,0
"Carrom",0,1,1,0
"Rush Hour",0,0,0,0
"Electronic Mall Madness",0,1,1,0
"Charades",0,0,1,1
"Afrikan tähti",0,1,1,1
"Malarky",0,0,1,1
"Fighting Sail: Sea Combat in the Age of Canvas and Shot 1775-1815",1,1,0,0
"Dorada",0,0,1,0
"King's Court",0,1,0,0
"War Without Mercy",1,1,1,0
"Drakborgen Legenden",1,1,1,0
"Marrakesh",0,1,1,0
"Austerlitz",1,1,1,0
"King Arthur and the Knights of the Round Table",1,1,1,1
"The Farming Game",0,1,1,0
"Old Town",1,1,1,0
"Glory",0,1,0,0
"Gnip Gnop",0,0,0,0
"The Great Battles of Alexander",1,1,0,0
"Samurai Blades",0,1,0,0
"Omaha Beachhead",0,0,0,0
"Sinai",1,1,0,0
"Montage",0,0,1,0
"Camelot",0,1,0,0
"Jack Straws",0,1,1,1
"Gorkamorka",0,1,1,0
"Star Trek: The Next Generation – Interactive VCR Board Game – A Klingon Challenge",0,1,1,1
"Booby-Trap",0,1,1,1
"Star Wars: Jedi Knights CCG",0,1,1,0
"Stack",0,0,1,0
"Hilarium",0,0,1,1
"Bloody Kasserine",1,1,0,0
"Octiles",0,1,1,0
"Fury in the West",1,1,0,0
"Waterloo",1,1,0,0
"World War I",0,1,0,0
"Curses!",0,0,1,1
"Basketball Strategy",1,1,0,0
"Harry's Grand Slam Baseball Game",0,1,0,0
"Family Feud",0,0,0,1
"Hangman",0,1,0,0
"Warhammer Epic 40,000",0,1,1,0
"Split (Revised Edition)",0,1,1,0
"Talisman (third edition)",0,1,1,1
"Monopoly Junior",0,1,1,0
"Lost Victory: Manstein At Kharkov, Winter 1943",1,1,0,0
"Von Manstein's Backhand Blow",1,1,0,0
"Chomp!",0,0,1,1
"Hordes of the Things",0,1,1,1
"Oil War",0,1,0,0
"MechWar '77",0,1,0,0
"Wheedle",0,0,1,1
"Amun-Re",0,0,1,1
"New England",0,0,1,0
"Magna Grecia",0,1,1,0
"MindTrap II",0,0,0,0
"Best of TriBond",0,1,1,1
"Rod Hockey",0,1,0,0
"Wealth of Nations",0,1,1,1
"Hanafuda",0,1,1,0
"DAK",0,0,0,0
"Tobruk:  Tank Battles in North Africa 1942",0,1,0,0
"Dread Pirate",0,0,1,0
"Space Fleet",0,0,0,0
"Clue: The Haunted Mansion",0,0,0,0
"Snap: The Interlocking Dragon-Making Game",0,1,1,0
"Monopoly: Millennium",0,0,0,0
"After the Holocaust",0,1,1,0
"A Gleam of Bayonets: The Battle of Antietam",0,0,0,0
"Crazy Circus",0,1,1,1
"Drive on Stalingrad (first edition)",1,1,0,0
"Devil's Den",1,1,0,0
"Atlantic Wall",1,1,0,0
"Time is Money",0,1,1,0
"Time Tripper",1,1,1,0
"Napoleon's Battles",0,0,0,0
"Southern Front",1,1,0,0
"Light Speed",0,1,1,0
"Marbles",0,0,0,0
"Vampire",0,1,1,0
"Sky Galleons of Mars",0,1,1,1
"PeaceBowl",0,1,1,0
"Dungeoneer: Tomb of the Lich Lord",0,1,1,0
"UNO: Harry Potter",0,1,0,0
"Perfection",1,1,0,0
"Full House",0,1,1,0
"Clue Jr.: The Case of the Hidden Toys",0,0,0,0
"Battle of the Bulge",1,1,0,0
"Achtung: Spitfire!",1,1,1,1
"Vietnam 1965-1975",1,1,0,0
"Pacific War",0,1,0,0
"Second World War at Sea: Bomb Alley",1,1,0,0
"APBA Pro Football",1,1,0,0
"Nightmare",0,0,1,1
"Stap op",0,0,1,0
"Pass-out",0,0,1,1
"The Longest Day",0,1,1,1
"France 1944: The Allied Crusade in Europe",1,1,0,0
"Mini Mastermind",0,1,0,0
"Lee vs. Grant",1,1,0,0
"18EU",0,0,1,1
"Stargrunt II",0,1,1,0
"Dirtside II",1,1,1,0
"Highly Suspect",0,0,1,0
"Reiner Knizia's Amazing Flea Circus",0,0,1,1
"The Emperor Returns",0,1,1,0
"Afrika: The Northern African Campaign, 1940-1942 (1st edition)",1,1,0,0
"Air Bridge to Victory",0,1,1,0
"Capt'n Clever",0,1,1,0
"Cuckoo Zoo",0,0,0,0
"Touché",0,1,1,0
"Squad Seven",0,0,1,0
"Petropolis",0,0,1,1
"Balloon Cup",0,1,0,0
"Cranium Cariboo",1,1,1,0
"The Great Patriotic War",0,0,0,0
"The Journeys of Paul",0,1,1,1
"Ace of Aces: Balloon Buster",1,1,0,0
"Domaine",0,1,1,0
"Strat-O-Matic Pro Football",1,1,0,0
"Simon",1,1,1,0
"Harry Potter and the Sorcerer's Stone Trivia Game",0,1,1,1
"Guadalcanal",1,1,0,0
"Bakerstreet",0,1,0,0
"Monopoly: Pokémon",0,1,1,1
"Mammoth Hunters",0,0,1,1
"Orchard",0,1,1,0
"Oh, Really!",0,0,1,1
"D-Day",0,1,0,0
"Edel, Stein & Reich",0,0,1,1
"Coloretto",0,0,1,1
"Polterdice",0,0,0,0
"Maelstrom",0,1,1,0
"Richelieu",0,1,0,0
"The Kids of Catan",0,1,1,0
"Paris Paris",0,1,1,0
"Victory in the West",1,1,0,0
"Balkan Front",0,1,0,0
"Britain Stands Alone",0,0,0,0
"The Great Battles of Julius Caesar: The Civil Wars 48-45 B.C.",1,1,0,0
"Steam Tunnel",0,1,1,1
"Trivial Pursuit: Walt Disney Family Edition Card Set",0,1,1,0
"The Wonderful World of Disney Trivia Game",0,0,1,1
"10 Days in Europe",0,1,1,0
"Mordred",0,0,1,0
"Twister",0,1,1,0
"Hungry Hungry Hippos",0,1,1,0
"Aliens vs. Predator",0,1,1,0
"Harpoon (1st & 3rd edition)",0,1,0,0
"Stonewall: The Battle of Kernstown, March 23, 1862",1,1,0,0
"Mermaid Rain",0,0,1,1
"Mystery Rummy: Al Capone and the Chicago Underworld",0,1,1,0
"Karambolage",0,0,0,0
"South Africa",0,1,0,0
"Tito",1,1,0,0
"Strike Force One",1,1,0,0
"October War",1,1,0,0
"Sequence Dice",0,0,0,0
"Miscellaneous Game Accessory",0,0,0,0
"Lion of Ethiopia",0,1,0,0
"Operation Grenade",1,1,0,0
"The Battle for Cassino: Assaulting the Gustav Line, 1944",0,1,0,0
"Cortes: Conquest of the Aztec Empire",1,1,0,0
"I Am Spartacus!",0,0,0,0
"Gettysburg: Lee's Greatest Gamble",0,1,0,0
"Duel of Ages Set 1: Worldspanner",0,1,1,1
"Queen's Necklace",0,1,1,0
"Pack of Flies",0,0,1,1
"Nobody but Us Chickens",0,0,1,1
"Discovery",0,1,0,0
"Drive",0,1,1,0
"Avalon",0,1,0,0
"Xe Queo!",0,1,0,0
"Dante's Inferno",0,0,1,1
"The Rise of the Roman Republic",1,1,0,0
"Enemy at the Gates",1,1,0,0
"Europe Engulfed",0,1,1,0
"Mag·Blast (Second Edition)",0,1,1,1
"Eastern Front Tank Leader",0,1,0,0
"The Perilous Parlor Game",0,1,1,0
"The Crusades",0,1,1,1
"Chez Grunt",0,1,1,1
"Wacht am Rhein",1,1,1,0
"King's Breakfast",0,0,1,1
"Eketorp",0,0,1,1
"The Ungame",0,0,0,0
"Shark Attack!",0,1,1,0
"Gulo Gulo",0,1,1,1
"Lord of the Rings",0,1,1,1
"Monty's Gamble: Market Garden",1,1,0,0
"Dungeons & Dragons: The Fantasy Adventure Board Game",0,1,1,1
"King Arthur",1,1,1,0
"WarCry",0,1,0,0
"Sequence for Kids",0,1,1,0
"Life Style",0,0,1,1
"Mr. Mouth",0,1,1,0
"Star Wars: Return of the Jedi – Battle at Sarlacc's Pit",0,1,1,0
"Ancients I",1,1,0,0
"Four Battles of the Ancient World",1,1,0,0
"Blokus 3D",0,1,1,0
"Cranium Cadoo",0,1,1,1
"Pick Up Sticks",0,1,1,1
"Air & Armor",0,1,0,0
"The Testimony of Jacob Hollow",0,1,1,1
"A Game of Thrones (first edition)",0,0,1,1
"Phoenix",0,1,0,0
"Iron Tide: Panzers in the Ardennes",1,1,1,0
"Harpoon: Captain's Edition",0,0,0,0
"Tom Tube",0,1,0,0
"Titan Legions",0,0,0,0
"Magdar",0,1,1,0
"Dwarven Dig!",0,1,1,1
"Don't Wake Daddy",0,0,1,0
"Formula Dé Mini",0,1,1,1
"Articulate!",0,0,1,1
"Battle for Moscow (first edition)",1,1,0,0
"Labyrinth",1,0,0,0
"Pretty Pretty Princess",0,1,1,0
"Crimson Skies",0,1,0,0
"Cashflow 101",0,1,1,1
"Lawless",0,1,1,1
"Diceland: Space",0,1,1,0
"The Secret Door",1,1,1,1
"Glory II: Across the Rappahannock",1,1,0,0
"VisualEyes",0,0,0,0
"Cronberg",0,1,1,0
"Korea: The Forgotten War",0,1,0,0
"Kung Fu Samurai on Giant Robot Island",0,0,1,1
"Grave Robbers II: Skippy's Revenge",0,1,1,1
"Lord of the Rings Trivia Game",0,1,1,0
"Downtown: Air War Over Hanoi, 1965-1972",1,1,0,0
"Finans",0,1,1,1
"Rapidough",0,0,0,0
"Scream Machine",0,0,1,1
"Western Front Tank Leader",0,1,0,0
"Excalibur",0,0,1,1
"Strange Synergy",0,0,1,0
"Such a Thing?",0,0,1,1
"Lunar Rails",0,1,1,1
"Shadowrun Duels",0,1,0,0
"Age of Mythology: The Boardgame",0,1,1,0
"Hit the Deck",0,1,1,1
"Go Away Monster!",0,1,1,0
"Anathema",0,1,1,0
"Liberty: The American Revolution 1775-83",0,1,0,0
"Aces High",1,1,0,0
"Quicksand",0,1,1,1
"Dungeons & Dragons Chainmail",0,1,1,0
"Scum: The Food Chain Game",0,0,0,1
"Busen Memo",1,1,0,0
"Attack!",0,0,1,1
"Attack Vector: Tactical",1,1,1,1
"The Settlers of Zarahemla",0,0,1,0
"The Ark of the Covenant",0,1,1,1
"Deutschlandreise",0,1,1,1
"Battleball",0,1,0,0
"Concentration",0,1,1,1
"Win, Lose or Draw",0,0,1,1
"Star Wars: The Interactive Video Board Game",0,0,1,1
"Schafkopf",0,0,1,0
"Gold und Rum",0,0,1,0
"Electronic Battleship Advanced Mission",0,0,0,0
"Transformers Armada:  Battle for Cybertron",0,1,1,0
"Red Badge of Courage",1,1,1,0
"Mus",0,0,1,0
"Toss Across",0,1,1,0
"Euchre",0,0,1,0
"1941",0,1,0,0
"1940",0,1,0,0
"BattleTech: CityTech",0,0,1,1
"Viking Raiders",0,1,0,0
"Hornet Leader",1,0,0,0
"Ranger",1,0,0,0
"Sweden Fights On",1,1,0,0
"Katamino",1,1,0,0
"Hi Ho! Cherry-O",0,1,1,0
"Wolfpack",1,0,0,0
"Lara Croft: Tomb Raider – The Angel of Darkness",1,0,1,0
"Reiner Knizia's Decathlon",1,1,1,0
"Mission Command Land",0,1,0,0
"Match of the Penguins",0,0,1,1
"Mission Command Sea",1,1,0,0
"Mission Command Air",1,1,1,0
"Scrabble Card Game",0,1,1,0
"Smarty Party!",0,0,0,1
"Senjutsu: Dynamic Samurai Combat",0,1,0,0
"Schloss Schlotterstein",1,1,1,1
"Guilford",1,1,0,0
"Panzer Grenadier: Afrika Korps",1,1,0,0
"Battles for the Ardennes",1,1,1,0
"Go: The International Travel Game",0,0,1,0
"Monopoly: Deluxe Edition",0,1,1,1
"Ace of Aces: Flying Machines",0,1,0,0
"Ace of Aces: Powerhouse Series",0,1,0,0
"Fifth Corps",0,1,0,0
"Second World War at Sea: SOPAC",0,1,0,0
"Ace of Aces: Handy Rotary Deluxe Edition",0,1,0,0
"The Killing Ground",0,1,1,0
"Warhammer 40,000 Collectible Card Game",0,1,0,0
"Panzer Grenadier: Battle of the Bulge",1,1,0,0
"Panzer Grenadier: Semper Fi! Guadalcanal",1,1,0,0
"Monopoly: Nostalgia Wooden Box",0,0,1,0
"TimeLine",0,1,1,0
"To the Green Fields Beyond",1,1,0,0
"18VA",0,1,1,0
"Medieval",0,0,1,1
"Vanished Planet",0,1,1,1
"The Speed of Heat",1,1,0,0
"Digit",0,1,1,0
"Management Material: Information Technology Edition",0,0,1,1
"Top Trumps",0,1,1,0
"Nertz",0,0,1,1
"GOLO",0,0,0,0
"Dynasty League Baseball",1,1,0,0
"Cranium Hullabaloo",0,1,1,1
"Rock 'Em Sock 'Em Robots",0,1,0,0
"One False Step for Mankind",0,0,1,1
"Bingo",0,0,0,0
"Elefun",1,1,1,0
"Trivial Pursuit: The Lord of the Rings Movie Trilogy Collector's Edition",0,1,1,0
"Epaminondas",0,1,0,0
"The Korean War",1,1,0,0
"Wilson's Creek: The West's First Fight, August 10, 1861",0,1,0,0
"LEGO Creator",0,1,1,0
"Star Wars Miniatures Battles",0,1,1,0
"Jarnac",0,1,0,0
"Hube's Pocket",0,1,0,0
"Jumpin' Monkeys",0,1,1,0
"Battleship Card Game",0,1,0,0
"The Lord of the Rings: The Two Towers Board Game",0,0,0,0
"Hand and Foot",0,1,1,1
"WarCraft: The Board Game",0,1,1,0
"Sword of Rome",0,0,1,1
"Schatz der Drachen",0,1,1,1
"Leros",1,1,0,0
"Zombie Plague",0,1,1,1
"Subulata",0,1,0,0
"Fish Eat Fish",0,1,1,1
"Babylon",0,1,0,0
"Winds Of Plunder",0,0,1,1
"Thingamajig",0,0,1,1
"Electric Football",1,1,0,0
"Urban Myth",0,0,1,1
"A World at War",1,1,1,1
"Western Desert",1,1,0,0
"Three of a Crime",1,0,1,1
"Bar-Lev: The Yom-Kippur War of 1973",0,1,1,0
"Hisss",0,1,1,1
"Hands Down",0,0,1,0
"Carcassonne: The Castle",0,1,0,0
"The Penguin Ultimatum",0,1,1,0
"Arena Maximus",0,0,1,1
"The Prince: The Struggle of House Borgia",0,0,1,1
"Confrontation",0,1,0,0
"When Eagles Fight",0,1,0,0
"Victory in Normandy",0,1,0,0
"En Garde!",1,1,1,1
"O'NO 99",0,1,1,1
"Dracula",0,1,0,0
"Fearsome Floors",0,1,1,1
"King Me!",0,0,1,1
"Creepy Freaks",0,1,1,0
"Buffy the Vampire Slayer: The Board Game",0,1,1,1
"Break the Safe",0,1,1,0
"Secrets of the Tombs",0,1,1,1
"Eagles Of The Empire: Preussisch-Eylau",0,0,0,0
"Caesar: Conquest of Gaul",1,1,1,0
"Operation Typhoon",1,1,0,0
"YINSH",0,1,0,0
"Ardennes '44",1,1,0,0
"Soldier Emperor",0,1,1,1
"10 Days in Africa",0,1,1,0
"10 Days in the USA",0,1,1,0
"The 6 Days of Glory",0,1,1,0
"Trivial Pursuit: Junior",1,1,1,0
"Dungeons & Dragons Miniatures",0,1,0,0
"NATO: Operational Combat in Europe in the 1970's",1,1,0,0
"Seelöwe",1,1,0,0
"Mutiny!",0,0,1,1
"Arctic Storm: The Russo-Finnish Winter War 1939-40",1,1,0,0
"Crocodile Pool Party",0,1,0,0
"Triumph & Glory: Battles of the Napoleonic Wars 1796-1809",1,1,0,0
"Fantasy Pub",0,0,1,1
"Spooks",0,0,1,1
"Silver Bayonet: The First Team in Vietnam, 1965",1,1,0,0
"Feurio!",1,1,1,0
"Citadel Combat Cards",0,1,0,0
"Trivial Pursuit: DVD Pop Culture Game",0,0,0,0
"Monopoly: The Lord of the Rings Trilogy Edition",0,0,1,1
"Princes of the Renaissance",0,0,1,1
"Attika",0,1,1,0
"Ideology: The War of Ideas",0,0,1,1
"CrossFire: Rules & Organizations for Company Level WW2 Gaming",0,1,1,0
"Clue FX",0,1,1,0
"Tannenberg",0,0,0,0
"MLB SportsClix",0,1,0,0
"Prophecy",0,1,1,0
"Logistico",0,1,1,0
"Team Yankee",0,0,0,0
"Monopoly: European Edition",0,0,1,1
"Risk: The Lord of the Rings Trilogy Edition",0,1,1,0
"Industria",0,0,1,0
"Santiago",0,0,1,1
"Maya",0,0,1,1
"Lucky Loop",0,1,1,1
"Atta Ants",0,1,1,0
"Sluff Off!",0,0,1,1
"Die Fugger",0,1,1,0
"Kogge",0,1,1,0
"The Lord of the Rings: Combat Hex Tradeable Miniatures Game",0,1,0,0
"Maka Bana",0,0,1,1
"Illuminati: Crime Lords",0,0,1,1
"Anno 1503",0,1,1,0
"Return of the Heroes",1,1,1,0
"Coyote",0,0,1,1
"Battleship (first edition)",0,0,0,0
"Yellowstone Park",0,1,1,1
"The Bridges of Shangri-La",0,0,1,0
"Railroad Dice",0,1,1,0
"Viva Topo!",0,1,1,0
"BattleTech: AeroTech",0,1,1,1
"Hey, That's My Fish!",0,1,1,0
"Dungeoneer: Vault of the Fiends",0,1,1,0
"San Juan",0,1,1,0
"Spank the Monkey",0,1,1,1
"Armadöra",0,1,1,0
"Zauberschwert & Drachenei",0,1,1,0
"Rolit",0,1,1,0
"Patton's 3rd Army: The Lorraine Campaign",1,1,0,0
"Alexandros",0,1,1,0
"Assault - Tactical Combat in Europe: 1985",0,1,0,0
"Boots & Saddles, An Assault Series Module",0,0,0,0
"Killer",0,0,0,1
"3D Labyrinth",0,1,1,0
"Over the Reich",1,1,0,0
"Sixth Fleet",0,0,0,0
"Sicily: The Race for Messina",1,1,0,0
"The China War",0,0,0,0
"The Desert Fox",1,1,0,0
"The Fall of Rome",1,0,0,0
"Paratroop",1,1,0,0
"Pegasus Bridge: The Beginning of D-Day – June 6, 1944",0,0,0,0
"Revolt in the East",0,1,0,0
"Napoleon at Eylau",1,1,0,0
"Monopoly: Deluxe Anniversary Edition",0,0,1,1
"Buckaroo!",1,1,1,0
"Sorry! The Disney Edition",0,0,1,0
"Hector and Achilles",0,1,0,0
"Crusader Rex",0,1,0,0
"Bed Bugs",0,1,1,0
"Ants in the Pants",1,1,1,0
"Age of Napoleon",0,1,0,0
"De Bellis Multitudinis",0,1,0,0
"Torches & Pitchforks",0,1,1,0
"Dork Tower",0,0,1,1
"Hybrid",0,1,0,0
"Whistling Death",1,1,1,0
"Ninja Burger",0,0,1,1
"I Go!",0,1,1,0
"Cannon",0,1,0,0
"Cargo",0,1,1,0
"The Haunting House",0,1,1,1
"Wreckage",0,0,1,0
"Advanced Space Crusade",0,1,0,0
"Monopoly: Disney",0,0,1,1
"The Grape Escape",1,1,1,0
"Days of Decision",0,1,0,0
"Igloo Pop",0,1,1,1
"Terra",0,0,1,1
"Bunco",0,0,0,0
"Buzzword",0,0,1,1
"Jacob Marley, Esq.",0,0,1,1
"Landships! Tactical Weapons Innovations 1914-1918",1,1,0,0
"The Next War",0,1,0,0
"BAOR",0,1,0,0
"Flying Colors",1,1,1,0
"Destruction of Army Group Center",1,1,0,0
"Narvik",1,1,0,0
"Po-Ke-No",0,0,1,1
"Activity",0,0,1,1
"Winter War",1,1,0,0
"Stoner Fluxx",0,1,1,1
"No Better Place to Die",0,1,0,0
"Shocking Roulette",0,1,1,0
"Frenzy",0,1,0,0
"Call of Cthulhu: Collectible Card Game",0,1,0,0
"Gopher It!",0,1,1,0
"Nobody is Perfect",0,0,1,1
"Firefight",0,0,0,0
"Cranium Conga",0,0,1,1
"Battle for Stalingrad",1,1,0,0
"IGOR: The Mad Scientist's Lament",0,0,1,1
"Jenga Xtreme",0,0,0,0
"Jenga Truth-or-Dare",0,1,1,1
"BuyWord",1,1,1,0
"Dancing Eggs",0,0,1,0
"Buffy the Vampire Slayer CCG",0,1,0,0
"Shazamm!",0,1,0,0
"Der wahre Walter",0,0,1,1
"Triple Yahtzee",0,1,1,1
"Stadium Checkers",0,1,1,0
"Coda",0,1,1,0
"The Battles of Waterloo",1,1,0,0
"Renegade Legion: Centurion – Blood & Steel",0,1,1,0
"kuuduk",0,0,0,0
"Funny Bunny",0,1,1,0
"World War II: Pacific Theater of Operations",0,0,1,0
"I.Q. 2000",0,1,1,1
"Junkyard Races",0,1,1,1
"Hansa",0,1,1,0
"Fire in the East",1,1,1,0
"Pictionary Junior",0,0,1,1
"Pop-Up Pirate!",0,1,1,0
"Sunken City",0,1,1,0
"Oasis",0,0,1,1
"Tongiaki: Journey into the Unknown",0,0,1,1
"Cinq-O",1,1,1,1
"Teenage Mutant Ninja Turtles Game",0,0,0,0
"The Newlywed Game",0,0,1,1
"Avalam",0,1,0,0
"Masquerade",0,0,1,1
"Marco Polo Expedition",0,1,1,1
"Zitternix",0,1,1,0
"Highlander: The Card Game",0,1,0,0
"Armchair Cricket",0,1,1,0
"Heroes Incorporated",0,1,1,0
"Spy",0,1,1,0
"Saga",0,0,1,0
"Wings of War: Famous Aces",0,1,1,0
"Screwball Scramble",0,0,0,0
"Manga Manga",0,1,1,1
"Revolution: The Dutch Revolt 1568-1648",0,1,1,1
"Goa",0,1,1,0
"Saint Petersburg",0,1,1,0
"Treasure Falls",0,1,1,0
"Who? What? Where?",0,0,1,1
"Warzone (first edition)",0,1,1,0
"Oh, Pharaoh!",0,0,1,0
"Clay-O-Rama",0,0,1,1
"Lost Valley",0,0,1,0
"Fifth Avenue",0,0,1,0
"Daimyo",0,1,1,0
"Privacy",0,0,0,1
"Doppelkopf",0,0,1,0
"Knock!  Knock!",0,0,1,1
"Uusi Finanssi",0,1,1,1
"Dos Rios",0,1,1,0
"FBI",0,0,1,1
"Maharaja: The Game of Palace Building in India",0,0,1,1
"Ribbit",0,1,1,0
"Teenage Mutant Ninja Turtles: Pizza Power Game",0,0,1,0
"Adam & Eva",0,1,0,0
"L'Armée du Nord",1,1,0,0
"Iglu Iglu",0,1,1,0
"Adverteasing",0,0,0,0
"Snatch",0,1,1,1
"Indus",0,1,1,0
"Across Suez",1,1,0,0
"Cluzzle",0,0,1,1
"Station Master",0,0,1,1
"Horus",0,1,1,0
"Russian Rails",0,1,1,1
"Struggle of Empires",0,0,1,1
"Greed Quest",0,0,1,1
"Ingenious",0,1,1,0
"La Strada",0,0,1,0
"Bounce It-In Game",0,1,1,0
"Duell",0,1,0,0
"Battle of the Bands: Encore Edition",0,0,1,0
"Beer Money",0,1,1,0
"Oriente",0,0,1,1
"Rummoli",0,0,1,1
"Ostrakon",0,0,0,1
"Tuchulcha",0,0,1,0
"Operation Michael",1,1,0,0
"Gettysburg: Badges of Courage",0,1,0,0
"Advanced Squad Leader: Starter Kit #1",1,1,0,0
"Employee of the Month",0,0,1,1
"Early American Chrononauts",1,1,1,1
"Runebound (First Edition)",0,1,1,0
"Clue Jr.: The Case of the Missing Cake",0,1,1,1
"Strat-O-Matic Pro Basketball",1,1,0,0
"Wings of War: Watch Your Back!",0,1,1,0
"Stacrobats",0,1,1,0
"Headache",0,1,1,0
"Chez Goth",0,0,1,1
"Santorini",0,1,0,0
"Axis & Allies: D-Day",0,1,1,0
"Axis & Allies",0,1,1,1
"The Scrambled States of America",0,1,1,0
"The Great War in Europe",1,1,0,0
"The Russian Campaign (fourth edition)",1,1,0,0
"Fliegen klatschen",1,1,1,1
"Bitter Woods (fourth edition)",1,1,0,0
"Napoleon at Leipzig",1,1,1,0
"Farlander",0,0,1,0
"Make 'n' Break",1,1,1,0
"Thunder at the Crossroads (second edition)",1,1,0,0
"Monkey Madness",0,1,1,0
"Lucky Ducks",0,0,0,0
"Saga",0,0,1,1
"Risk: Godstorm",0,0,1,1
"Patience",1,0,0,0
"Epic Armageddon",0,1,1,0
"Duel Masters Trading Card Game",0,1,1,0
"Crocodile Dentist",0,1,1,0
"Renegade Legion: Leviathan",0,1,0,0
"Camelot Legends",0,1,1,0
"Canvas Eagles",0,1,1,1
"Tyrus",0,1,0,0
"Victory & Honor",0,0,1,0
"Gyges",0,1,0,0
"Napoleon's Art of War: Eylau and Dresden",1,1,0,0
"Betrayal at House on the Hill",0,0,1,1
"Big Boggle",1,1,1,1
"Why Did the Chicken...?",0,0,1,1
"Gringo!",1,1,0,0
"Memoir '44",0,1,0,0
"Doom: The Boardgame",0,1,1,0
"Barbarossa: Army Group South, 1941",0,1,0,0
"Barbarossa: Army Group North, 1941",0,0,0,0
"Pirates of the Spanish Main",0,1,1,1
"Hex Hex",0,0,1,1
"Micropul",1,1,0,0
"Victoria Cross",0,1,0,0
"Panzer Grenadier: Desert Rats",1,1,0,0
"Easy Come, Easy Go",0,1,1,0
"Knight Hawks",0,1,0,0
"Apples to Apples Junior",0,0,1,1
"Atlas & Zeus",0,1,0,0
"Hacker: Deluxe Edition",0,0,1,1
"Tjuv och polis",0,1,1,1
"Bondespelet",0,1,1,0
"CSI: Crime Scene Investigation Boardgame",0,0,0,0
"Dancing Dice",0,1,1,1
"Hellenes: Campaigns of the Peloponnesian War",0,1,0,0
"Pitch",0,1,1,0
"Somethin' Fishy",0,0,1,1
"Dawn Under",0,1,1,1
"Blackjack",0,1,1,1
"Navia Dratp",0,1,0,0
"Heart of Africa",0,0,1,1
"Minotaur Lords",0,1,0,0
"Simply Suspects",0,0,1,1
"Tumbling Tower",1,1,1,1
"Things...",0,0,1,1
"Master Thieves",0,1,1,1
"Smugglers of the Galaxy",0,0,0,0
"April's Harvest: The Battle of Shiloh, April 6 & 7, 1862",1,1,0,0
"Borodino: Battle of the Moskova, 1812",0,0,0,0
"ConHex",0,1,0,0
"Boomtown",0,0,1,1
"Word Jam",0,0,0,0
"Abracadabra",0,1,1,1
"Farfalia",0,0,1,1
"Lotto",0,0,0,1
"The Great Battles of Alexander: Deluxe Edition",1,1,1,0
"Familienbande",0,1,1,0
"Jumbo & Co",0,0,1,1
"Tahuantinsuyu",0,0,1,0
"Who's the Ass?",0,0,0,1
"Warhammer 40,000: Rogue Trader",0,1,0,0
"Proud Monster: The Barbarossa Campaign",0,1,0,0
"Ea$y Money",0,0,0,0
"Dungeoneer: Haunted Woods of Malthorin",0,1,0,0
"Dungeoneer: Den of the Wererats",0,1,0,0
"Flames of War: The World War II Miniatures Game",0,1,0,0
"Heroscape Master Set: Rise of the Valkyrie",0,1,1,0
"Super Scrabble",0,1,1,0
"The First World War",0,1,1,0
"Star Wars Miniatures",0,1,0,0
"Snorta!",0,0,1,1
"Wellington",0,1,1,0
"Roads to Leningrad",1,1,0,0
"Devil's Horsemen",1,1,0,0
"Stratego: The Lord of the Rings",0,1,0,0
"Wallamoppi",0,1,0,0
"Warriors",0,1,1,0
"Burn in Hell",0,1,1,1
"Harpoon 4",0,1,1,1
"La Bataille de Lützen",0,0,0,0
"Eclipse",0,1,0,0
"Celebrity Taboo",0,0,0,0
"Schnapsen",0,1,0,0
"Zigity",0,1,1,1
"Trivial Pursuit: Young Players Edition Master Game",0,1,1,1
"Mexican Train",0,1,1,1
"The Game of Authors",0,0,1,1
"Defiant Russia",1,1,0,0
"Lightning: Midway – June 4th to June 6th, 1942",0,1,0,0
"Lightning: D-Day",0,1,0,0
"Diam",0,1,0,0
"Knuckling Knights",0,1,1,0
"Cat & Mouse",0,1,1,0
"Empire of the Sun",0,1,0,0
"Koi-Koi",0,1,0,0
"Trivial Pursuit: Volume 6",0,1,1,1
"Texas Glory: 1835-36",0,1,0,0
"Linq",0,0,0,1
"Shifting Sands",0,1,0,0
"Cockroach Poker",0,0,1,1
"Fab Fib",0,0,0,0
"Jambo",0,1,0,0
"Candamir: The First Settlers",0,1,1,0
"Around the World in 80 Days",0,0,1,1
"Streets of Stalingrad (third edition)",1,1,1,1
"There's a Moose in the House",0,1,1,1
"Wig Out!",0,0,1,0
"42",0,0,1,0
"This Hallowed Ground",1,1,1,1
"Stalingrad Pocket II",1,1,0,0
"Unanimo",0,0,1,1
"Funkenschlag",0,0,1,1
"D-Day (first edition)",0,1,0,0
"Pucket",0,1,0,0
"Garden Competition",0,0,1,1
"In a Pickle",0,0,1,1
"DAK2",1,1,0,0
"Oil: The Great Adventure",0,1,1,1
"Alexander the Great",0,0,1,1
"Spycraft: Collectible Card Game",0,1,1,0
"Grand Illusion: Mirage of Glory, 1914",1,1,0,0
"Manifest Destiny",0,0,1,1
